City,District,Neighborhood,Postal,Latitude,Longitude
Madrid,CIUDAD LINEAL,COSTILLARES,28033,40.48064124,-3.666328344
Madrid,HORTALEZA,VALDEFUENTES,28033,40.47210979,-3.631007402
Madrid,HORTALEZA,APOSTOL SANTIAGO,28033,40.47897695,-3.659634306
Madrid,HORTALEZA,PINAR DEL REY,28033,40.47162024,-3.654242063
Madrid,HORTALEZA,PINAR DEL REY,28033,40.47440639,-3.652228215
Madrid,FUENCARRAL-EL PARDO,EL PILAR,28034,40.48260881,-3.711075822
Madrid,FUENCARRAL-EL PARDO,VALVERDE,28034,40.495511,-3.696048079
Madrid,FUENCARRAL-EL PARDO,LA PAZ,28034,40.48664863,-3.701608321
Madrid,FUENCARRAL-EL PARDO,MIRASIERRA,28034,40.49113904,-3.714198447
Madrid,FUENCARRAL-EL PARDO,VALVERDE,28034,40.49194816,-3.695267857
Madrid,FUENCARRAL-EL PARDO,VALVERDE,28034,40.49939736,-3.686422886
Madrid,FUENCARRAL-EL PARDO,PEÑA GRANDE,28035,40.48349349,-3.726718328
Madrid,FUENCARRAL-EL PARDO,PEÑA GRANDE,28035,40.4805389,-3.718014862
Madrid,MONCLOA-ARAVACA,VALDEZARZA,28035,40.46843902,-3.721047303
Madrid,SAN BLAS-CANILLEJAS,SIMANCAS,28037,40.43011261,-3.628834506
Madrid,SAN BLAS-CANILLEJAS,ARCOS,28037,40.42217402,-3.619118046
Madrid,CIUDAD LINEAL,PUEBLO NUEVO,28037,40.42934657,-3.632187288
Madrid,SAN BLAS-CANILLEJAS,HELLIN,28037,40.42985422,-3.618280698
Madrid,SAN BLAS-CANILLEJAS,SIMANCAS,28037,40.42809852,-3.62478392
Madrid,SAN BLAS-CANILLEJAS,ARCOS,28037,40.42658756,-3.617602405
Madrid,PUENTE DE VALLECAS,PORTAZGO,28038,40.38819094,-3.647236725
Madrid,PUENTE DE VALLECAS,PALOMERAS SURESTE,28038,40.39244393,-3.637379941
Madrid,PUENTE DE VALLECAS,NUMANCIA,28038,40.4022043,-3.654488723
Madrid,PUENTE DE VALLECAS,NUMANCIA,28038,40.39530955,-3.658157244
Madrid,PUENTE DE VALLECAS,PALOMERAS SURESTE,28038,40.38814863,-3.637009551
Madrid,PUENTE DE VALLECAS,PORTAZGO,28038,40.39368443,-3.644378931
Madrid,PUENTE DE VALLECAS,PORTAZGO,28038,40.38939977,-3.651760883
Madrid,PUENTE DE VALLECAS,PORTAZGO,28038,40.3920183,-3.645894796
Madrid,PUENTE DE VALLECAS,PORTAZGO,28038,40.39595533,-3.649102137
Madrid,MONCLOA-ARAVACA,VALDEZARZA,28039,40.46477711,-3.713022694
Madrid,TETUAN,BELLAS VISTAS,28039,40.45242712,-3.711347229
Madrid,MONCLOA-ARAVACA,VALDEZARZA,28039,40.45898734,-3.712536882
Madrid,MONCLOA-ARAVACA,VALDEZARZA,28039,40.46916208,-3.717775718
Madrid,TETUAN,VALDEACEDERAS,28039,40.46327856,-3.703228723
Madrid,VILLAVERDE,LOS ANGELES,28041,40.35841024,-3.696273094
Madrid,VILLAVERDE,LOS ANGELES,28041,40.36251935,-3.697610896
Madrid,USERA,ORCASUR,28041,40.37258948,-3.701248162
Madrid,VILLAVERDE,LOS ANGELES,28041,40.3556456,-3.696079787
Madrid,VILLAVERDE,SAN ANDRES,28041,40.3503508,-3.706057975
Madrid,VILLAVERDE,LOS ROSALES,28041,40.36157241,-3.69327885
Madrid,USERA,ORCASITAS,28041,40.36931163,-3.705136837
Madrid,VILLAVERDE,LOS ROSALES,28041,40.35443601,-3.690461924
Madrid,USERA,ORCASITAS,28041,40.37194535,-3.710523799
Madrid,USERA,ORCASITAS,28041,40.3679445,-3.719398064
Madrid,USERA,SAN FERMIN,28041,40.3704394,-3.689930272
Madrid,BARAJAS,TIMON,28042,40.47070811,-3.584020927
Madrid,BARAJAS,ALAMEDA DE OSUNA,28042,40.45894746,-3.584791855
Madrid,BARAJAS,ALAMEDA DE OSUNA,28042,40.46030215,-3.59121987
Madrid,BARAJAS,TIMON,28042,40.4704772,-3.590459755
Madrid,HORTALEZA,CANILLAS,28043,40.46144263,-3.645780808
Madrid,HORTALEZA,CANILLAS,28043,40.46699373,-3.634108988
Madrid,HORTALEZA,PINAR DEL REY,28043,40.47244066,-3.647738241
Madrid,HORTALEZA,CANILLAS,28043,40.4613154,-3.653988745
Madrid,HORTALEZA,PINAR DEL REY,28043,40.47078627,-3.647156116
Madrid,HORTALEZA,CANILLAS,28043,40.4663499,-3.633230054
Madrid,CIUDAD LINEAL,SAN JUAN BAUTISTA,28043,40.45116072,-3.65902024
Madrid,LATINA,LAS AGUILAS,28044,40.3798369,-3.77644793
Madrid,CARABANCHEL,BUENAVISTA,28044,40.36742549,-3.754197552
Madrid,LATINA,LAS AGUILAS,28044,40.37492895,-3.762609415
Madrid,LATINA,LAS AGUILAS,28044,40.3792701,-3.783014879
Madrid,LATINA,LAS AGUILAS,28044,40.38135499,-3.771729497
Madrid,CARABANCHEL,BUENAVISTA,28044,40.37628543,-3.752199517
Madrid,ARGANZUELA,PALOS DE MOGUER,28045,40.4055751,-3.691396695
Madrid,ARGANZUELA,DELICIAS,28045,40.39428331,-3.693472831
Madrid,ARGANZUELA,ATOCHA,28045,40.39744511,-3.678351567
Madrid,ARGANZUELA,LEGAZPI,28045,40.39224302,-3.688149691
Madrid,LATINA,ALUCHE,28047,40.39743594,-3.755392529
Madrid,LATINA,ALUCHE,28047,40.38550403,-3.755989664
Madrid,CARABANCHEL,VISTA ALEGRE,28047,40.38607118,-3.746346887
Madrid,LATINA,ALUCHE,28047,40.39118341,-3.75128127
Madrid,LATINA,LOS CARMENES,28047,40.40242068,-3.741047666
Madrid,CARABANCHEL,VISTA ALEGRE,28047,40.37837447,-3.752364113
Madrid,LATINA,LOS CARMENES,28047,40.3934735,-3.741232361
Madrid,FUENCARRAL-EL PARDO,EL PARDO,28048,40.51715727,-3.774264311
Madrid,FUENCARRAL-EL PARDO,EL GOLOSO,28049,40.51157829,-3.693818069
Madrid,FUENCARRAL-EL PARDO,MIRASIERRA,28049,40.49966952,-3.711432956
Madrid,FUENCARRAL-EL PARDO,EL GOLOSO,28049,40.54156879,-3.696819824
Madrid,HORTALEZA,VALDEFUENTES,28050,40.48860267,-3.652554424
Madrid,FUENCARRAL-EL PARDO,VALVERDE,28050,40.50973426,-3.670452271
Madrid,HORTALEZA,VALDEFUENTES,28050,40.49893433,-3.656017908
Madrid,FUENCARRAL-EL PARDO,VALVERDE,28050,40.50774206,-3.667552527
Madrid,FUENCARRAL-EL PARDO,VALVERDE,28050,40.50973426,-3.670452271
Madrid,FUENCARRAL-EL PARDO,VALVERDE,28050,40.50083317,-3.675143322
Madrid,HORTALEZA,VALDEFUENTES,28050,40.48725396,-3.660022119
Madrid,VILLA DE VALLECAS,CASCO H.VALLECAS,28051,40.36826115,-3.614501949
Madrid,VILLA DE VALLECAS,CASCO H.VALLECAS,28051,40.3606425,-3.598451087
Madrid,PUENTE DE VALLECAS,PALOMERAS BAJAS,28053,40.39022333,-3.663775035
Madrid,PUENTE DE VALLECAS,ENTREVIAS,28053,40.38008564,-3.673547649
Madrid,PUENTE DE VALLECAS,ENTREVIAS,28053,40.37336649,-3.665482525
Madrid,PUENTE DE VALLECAS,ENTREVIAS,28053,40.37952947,-3.668476504
Madrid,PUENTE DE VALLECAS,SAN DIEGO,28053,40.38790371,-3.670762515
Madrid,PUENTE DE VALLECAS,ENTREVIAS,28053,40.38183462,-3.674884526
Madrid,PUENTE DE VALLECAS,ENTREVIAS,28053,40.37525283,-3.661743347
Madrid,PUENTE DE VALLECAS,ENTREVIAS,28053,40.37703559,-3.671302626
Madrid,CARABANCHEL,BUENAVISTA,28054,40.36264092,-3.74737216
Madrid,CARABANCHEL,BUENAVISTA,28054,40.36301638,-3.76435956
