City,District,Neigborhood,Postal,Coordenate X (cm) ,Coordenate Y (cm),Longitude en  ETRS89 WGS84,Latitude   ETRS89 WGS84
MADRID,SAN BLAS-CANILLEJAS ,HELLIN              ,28037,44777028,447598507,3º37'1.43'' W   ,40º25'51.55'' N 
MADRID,SAN BLAS-CANILLEJAS ,SIMANCAS            ,28037,44686216,447666346,3º37'40.17'' W  ,40º26'13.33'' N 
MADRID,PUENTE DE VALLECAS  ,NUMANCIA            ,28038,44407088,447191416,3º39'37.13'' W  ,40º23'38.66'' N 
MADRID,PUENTE DE VALLECAS  ,PALOMERAS SURESTE   ,28038,44563084,447144947,3º38'30.81'' W  ,40º23'23.95'' N 
MADRID,PUENTE DE VALLECAS  ,PORTAZGO            ,28038,44501105,447147345,3º38'57.12'' W  ,40º23'24.58'' N 
MADRID,TETUAN              ,BELLAS VISTAS       ,28039,44038267,447822676,3º42'15.69'' W  ,40º27'2.47'' N  
MADRID,TETUAN              ,BERRUGUETE          ,28039,44020602,447920158,3º42'23.54'' W  ,40º27'34.04'' N 
MADRID,MONCLOA-ARAVACA     ,VALDEZARZA          ,28039,43971915,447974636,3º42'44.4'' W   ,40º27'51.56'' N 
MADRID,VILLAVERDE          ,LOS ANGELES         ,28041,44087279,446773283,3º41'51.38'' W  ,40º21'22.27'' N 
MADRID,USERA               ,ORCASITAS           ,28041,43923443,446929016,3º43'1.39'' W   ,40º22'12.34'' N 
MADRID,USERA               ,ORCASUR             ,28041,44046332,446888210,3º42'9.14'' W   ,40º21'59.43'' N 
MADRID,USERA               ,SAN FERMIN          ,28041,44145355,446977267,3º41'27.42'' W  ,40º22'28.58'' N 
MADRID,BARAJAS             ,AEROPUERTO          ,28042,45067134,447834697,3º34'58.98'' W  ,40º27'8.79'' N  
MADRID,BARAJAS             ,ALAMEDA DE OSUNA    ,28042,44940430,447856856,3º35'52.83'' W  ,40º27'15.69'' N 
MADRID,BARAJAS             ,CASCO H.BARAJAS     ,28042,45102246,448040149,3º34'44.6'' W   ,40º28'15.48'' N 
MADRID,BARAJAS             ,CORRALEJOS          ,28042,44982268,447973719,3º35'35.37'' W  ,40º27'53.69'' N 
MADRID,HORTALEZA           ,PALOMAS             ,28042,44797583,447864701,3º36'53.48'' W  ,40º27'17.93'' N 
MADRID,BARAJAS             ,TIMON               ,28042,44973414,448045006,3º35'39.36'' W  ,40º28'16.79'' N 
MADRID,HORTALEZA           ,CANILLAS            ,28043,44555662,447933865,3º38'36.39'' W  ,40º27'39.81'' N 
MADRID,CIUDAD LINEAL       ,COLINA              ,28043,44444048,447913393,3º39'23.71'' W  ,40º27'32.9'' N  
MADRID,HORTALEZA           ,PIOVERA             ,28043,44614066,447917450,3º38'11.54'' W  ,40º27'34.6'' N  
MADRID,CIUDAD LINEAL       ,SAN JUAN BAUTISTA   ,28043,44416351,447851740,3º39'35.27'' W  ,40º27'12.82'' N 
MADRID,CARABANCHEL         ,BUENAVISTA          ,28044,43688131,446928898,3º44'41.16'' W  ,40º22'11.68'' N 
MADRID,LATINA              ,LAS AGUILAS         ,28044,43442032,447038233,3º46'25.91'' W  ,40º22'46.44'' N 
MADRID,ARGANZUELA          ,ATOCHA              ,28045,44254222,447233391,3º40'42.12'' W  ,40º23'51.9'' N  
MADRID,ARGANZUELA          ,CHOPERA             ,28045,44077018,447256088,3º41'57.36'' W  ,40º23'58.82'' N 
MADRID,ARGANZUELA          ,DELICIAS            ,28045,44163960,447207955,3º41'20.3'' W   ,40º23'43.44'' N 
MADRID,ARGANZUELA          ,LEGAZPI             ,28045,44158894,447089752,3º41'22.07'' W  ,40º23'5.1'' N   
